127.0.0.1, 2017-03-30 16:57:25, GET, /popperci/default/index, HTTP/1.1, 303, 15.169739
127.0.0.1, 2017-03-30 16:57:25, GET, /popperci/default/user/login, HTTP/1.1, 200, 0.020804
127.0.0.1, 2017-03-30 16:57:36, POST, /popperci/default/user/login, HTTP/1.1, 303, 0.023500
127.0.0.1, 2017-03-30 16:57:36, GET, /popperci/default/index, HTTP/1.1, 200, 0.016622
127.0.0.1, 2017-03-30 16:57:38, GET, /popperci/default/user/profile, HTTP/1.1, 200, 0.020894
127.0.0.1, 2017-03-30 16:57:39, GET, /popperci/default/index, HTTP/1.1, 200, 0.017540
127.0.0.1, 2017-03-30 17:00:00, GET, /popperci/default/credentials, HTTP/1.1, 200, 0.017556
127.0.0.1, 2017-03-30 17:00:02, GET, /popperci/default/index, HTTP/1.1, 200, 0.017582
127.0.0.1, 2017-03-30 17:02:45, GET, /, HTTP/1.1, 200, 15.093871
127.0.0.1, 2017-03-30 17:02:52, GET, /user/profile, HTTP/1.1, 200, 0.022511
127.0.0.1, 2017-03-30 17:02:56, GET, /, HTTP/1.1, 200, 0.018644
127.0.0.1, 2017-03-30 17:02:58, GET, /, HTTP/1.1, 200, 0.019779
127.0.0.1, 2017-03-30 17:03:00, GET, /, HTTP/1.1, 200, 0.018806
127.0.0.1, 2017-03-30 17:03:02, GET, /, HTTP/1.1, 200, 0.018728
127.0.0.1, 2017-03-30 17:03:06, GET, /user/profile, HTTP/1.1, 200, 0.024284
127.0.0.1, 2017-03-30 17:03:17, GET, /, HTTP/1.1, 200, 0.018920
127.0.0.1, 2017-03-30 17:04:49, GET, /, HTTP/1.1, 200, 0.020423
